trans_id,trans_type_id,trans_status_id,trans_amount,merchant_id,user_id,session_id,account_number,created_at,updated_at,load_created_at
1,1,2,74889.23,20,18,1,19974284,2024-08-20 12:15:49,2024-08-20 12:20:49,2024-08-20 12:21:49
2,1,3,38838.36,20,11,2,88887346,2024-12-15 18:36:25,2024-12-15 18:40:25,2024-12-15 18:41:25
3,1,1,82043.8,30,2,0,92436552,2024-06-01 22:19:24,2024-06-01 22:24:24,2024-06-01 22:25:24
4,1,3,89490.18,20,14,4,91663348,2024-11-07 08:24:30,2024-11-07 08:27:30,2024-11-07 08:28:30
5,1,3,40257.7,20,9,5,29993920,2024-06-12 06:10:54,2024-06-12 06:11:54,2024-06-12 06:12:54
6,1,1,46447.39,30,6,0,69623614,2023-11-25 10:58:57,2023-11-25 11:02:57,2023-11-25 11:03:57
7,1,3,58404.11,50,6,7,69623614,2024-06-01 13:36:07,2024-06-01 13:41:07,2024-06-01 13:42:07
8,1,2,1845.08,20,1,8,66760199,2024-01-26 04:30:58,2024-01-26 04:35:58,2024-01-26 04:36:58
9,1,3,52937.77,50,2,9,92436552,2024-02-21 16:14:41,2024-02-21 16:18:41,2024-02-21 16:19:41
10,1,3,8728.28,50,6,10,69623614,2023-09-21 23:09:40,2023-09-21 23:12:40,2023-09-21 23:13:40
11,1,2,99564.48,20,15,11,94524600,2024-02-06 22:59:34,2024-02-06 23:00:34,2024-02-06 23:01:34
12,1,3,23304.66,50,2,12,23951580,2024-01-10 02:52:31,2024-01-10 02:53:31,2024-01-10 02:54:31
13,1,3,11839.69,20,12,13,43074592,2024-03-17 07:39:01,2024-03-17 07:42:01,2024-03-17 07:43:01
14,1,3,55846.33,20,11,14,88887346,2024-11-27 19:19:57,2024-11-27 19:20:57,2024-11-27 19:21:57
15,1,3,15685.23,30,14,15,91663348,2024-03-29 10:02:25,2024-03-29 10:04:25,2024-03-29 10:05:25
16,1,3,38850.33,40,11,16,88887346,2023-03-16 04:20:13,2023-03-16 04:24:13,2023-03-16 04:25:13
17,1,2,57442.99,30,20,17,35011346,2024-07-09 12:47:48,2024-07-09 12:49:48,2024-07-09 12:50:48
18,1,2,74347.73,10,6,18,69623614,2024-01-13 06:33:01,2024-01-13 06:34:01,2024-01-13 06:35:01
19,1,3,22938.76,50,18,19,19974284,2024-02-27 02:18:09,2024-02-27 02:21:09,2024-02-27 02:22:09
20,1,3,97592.84,20,13,20,61869615,2024-11-13 07:02:19,2024-11-13 07:03:19,2024-11-13 07:04:19
21,1,3,21900.98,20,16,21,97568832,2024-02-21 00:27:11,2024-02-21 00:29:11,2024-02-21 00:30:11
22,1,3,39741.49,10,17,22,54375989,2024-06-05 10:10:56,2024-06-05 10:11:56,2024-06-05 10:12:56
23,1,2,5770.89,40,8,23,41391548,2023-10-07 03:05:17,2023-10-07 03:09:17,2023-10-07 03:10:17
24,1,3,47653.75,30,20,24,66816991,2024-06-26 18:32:38,2024-06-26 18:34:38,2024-06-26 18:35:38
